MORSE,824,"41,774"
KNAPP,825,"41,771"
HERMAN,826,"41,750"
STARK,827,"41,735"
BRAVO,828,"41,700"
NOBLE,829,"41,667"
SPEARS,830,"41,665"
WEEKS,831,"41,565"
CORONA,832,"41,553"
FREDERICK,833,"41,394"
BUCKLEY,834,"41,348"
MCFARLAND,835,"41,300"
HEBERT,836,"41,275"
ENRIQUEZ,837,"41,271"
HICKMAN,838,"41,163"
QUINTERO,839,"41,158"
RANDOLPH,840,"41,129"
SCHAEFER,841,"41,063"
WALLS,842,"41,025"
TREJO,843,"41,021"
HOUSE,844,"41,000"
REILLY,845,"40,884"
PENNINGTON,846,"40,854"
MICHAEL,847,"40,736"
CONRAD,848,"40,707"
GILES,849,"40,598"
BENJAMIN,850,"40,590"
CROSBY,851,"40,563"
FITZPATRICK,852,"40,449"
DONOVAN,853,"40,410"
MAYS,854,"40,408"
MAHONEY,855,"40,397"
VALENTINE,856,"40,395"
RAYMOND,857,"40,275"
MEDRANO,858,"40,261"
HAHN,859,"40,250"
MCMILLAN,860,"40,237"
SMALL,861,"40,212"
BENTLEY,862,"40,193"
FELIX,863,"40,165"
PECK,864,"40,055"
LUCERO,865,"39,986"
BOYLE,866,"39,921"
HANNA,867,"39,890"
PACE,868,"39,879"
RUSH,869,"39,802"
HURLEY,870,"39,796"
HARDING,871,"39,787"
MCCONNELL,872,"39,754"
BERNAL,873,"39,693"
NAVA,874,"39,670"
AYERS,875,"39,623"
EVERETT,876,"39,593"
VENTURA,877,"39,580"
AVERY,878,"39,564"
PUGH,879,"39,559"
MAYER,880,"39,555"
BENDER,881,"39,551"
SHEPARD,882,"39,430"
MCMAHON,883,"39,411"
LANDRY,884,"39,391"
CASE,885,"39,319"
SAMPSON,886,"39,277"
MOSES,887,"39,216"
MAGANA,888,"39,105"
BLACKBURN,889,"39,097"
DUNLAP,890,"39,063"
GOULD,891,"38,924"
DUFFY,892,"38,835"
VAUGHAN,893,"38,830"
HERRING,894,"38,733"
MCKAY,895,"38,681"
ESPINOSA,896,"38,667"
RIVERS,897,"38,662"
FARLEY,898,"38,528"
BERNARD,899,"38,512"
ASHLEY,900,"38,499"
FRIEDMAN,901,"38,374"
POTTS,902,"38,277"
TRUONG,903,"38,267"
COSTA,904,"38,265"
CORREA,905,"38,232"
BLEVINS,906,"38,229"
NIXON,907,"38,147"
CLEMENTS,908,"38,044"
FRY,909,"38,029"
DELAROSA,910,"37,932"
BEST,911,"37,923"
BENTON,912,"37,912"
LUGO,913,"37,903"
PORTILLO,914,"37,890"
DOUGHERTY,915,"37,884"
CRANE,916,"37,870"
HALEY,917,"37,858"
PHAN,918,"37,836"
VILLALOBOS,919,"37,754"
BLANCHARD,920,"37,695"
HORNE,921,"37,689"
FINLEY,922,"37,672"
QUINTANA,923,"37,657"
LYNN,924,"37,644"
ESQUIVEL,925,"37,578"
BEAN,926,"37,571"
DODSON,927,"37,566"
MULLEN,928,"37,502"
XIONG,929,"37,499"
HAYDEN,930,"37,451"
CANO,931,"37,368"
LEVY,932,"37,228"
HUBER,933,"37,170"
RICHMOND,934,"37,053"
MOYER,935,"37,050"
LIM,936,"37,021"
FRYE,937,"36,973"
SHEPPARD,938,"36,960"
MCCARTY,939,"36,944"
AVALOS,940,"36,922"
BOOKER,941,"36,840"
WALLER,942,"36,805"
PARRA,943,"36,765"
WOODWARD,944,"36,764"
JARAMILLO,945,"36,755"
KRUEGER,946,"36,743"
RASMUSSEN,947,"36,636"
BRANDT,948,"36,613"
PERALTA,949,"36,585"
DONALDSON,950,"36,558"
STUART,951,"36,540"
FAULKNER,952,"36,466"
MAYNARD,953,"36,460"
